#;Name;Effect;Type;Kind;Power;Accuracy;PP
1;Pound;Deals damage with no additional effect.;Normal;Physical;40;100%;35
2;Karate Chop;Has a high critical hit ratio.;Fighting;Physical;50;100%;25
3;DoubleSlap;Attacks 2-5 times in one turn. if one of these attacks breaks a target's Substitute the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice a 3/8 chance to hit three times a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link this move will always strike five times.;Normal;Physical;15;85%;10
4;Comet Punch;Attacks 2-5 times in one turn. if one of these attacks breaks a target's Substitute the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice a 3/8 chance to hit three times a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link this move will always strike five times.;Normal;Physical;18;85%;15
5;Mega Punch;Deals damage with no additional effect.;Normal;Physical;80;85%;20
6;Pay Day;The player picks up extra money after in-game battles. the money received is equal to: [user's level * 5 * number of times Pay Day is used]. The player does not lose money if the opponent uses Pay Day but the player wins the battle.;Normal;Physical;40;100%;20
7;Fire Punch;Has a 10% chance to burn the target.;Fire;Physical;75;100%;15
8;Ice Punch;Has a 10% chance to freeze the target.;Ice;Physical;75;100%;15
9;ThunderPunch;Has a 10% chance to paralyze the target.;Electric;Physical;75;100%;15
10;Scratch;Deals damage with no additional effect.;Normal;Physical;40;100%;35
11;ViceGrip;Deals damage with no additional effect.;Normal;Physical;55;100%;30
12;Guillotine;The target faints. doesn't work on higher-leveled Pokemon.;Normal;Physical;0;30%;5
13;Razor Wind;The user prepares on turn one becoming uncontrollable and then attacks on turn two. Has a high critical hit ratio.;Normal;Special;80;100%;10
14;Cut;Deals damage with no additional effect.;Normal;Physical;50;95%;30
15;Gust;Power doubles if the target is in mid-air via Fly or Bounce.;Flying;Special;40;100%;35
16;Wing Attack;Deals damage with no additional effect.;Flying;Physical;60;100%;35
17;Fly;On the first turn the user flies into the air becoming uncontrollable and evades most attacks. Gust Twister Thunder and Sky Uppercut have normal accuracy against a mid-air Pokemon with Gust and Twister also gaining doubled power. The user may also be hit in mid-air if it was previously targeted by Lock-On or Mind Reader or if it is attacked by a Pokemon with No Guard. On the second turn the user attacks.;Flying;Physical;90;95%;15
18;Bind;Traps the target for 5-6 turns causing damage equal to 1/16 of its max HP each turn. this trapped effect can be broken by Rapid Spin. The target can still switch out if it is holding Shed Shell or uses Baton Pass or U-Turn.;Normal;Physical;15;85%;20
19;Slam;Deals damage with no additional effect.;Normal;Physical;80;75%;20
20;Vine Whip;Deals damage with no additional effect.;Grass;Physical;35;100%;15
21;Stomp;Has a 30% chance to make the target flinch. also retains its normal accuracy and gains doubled power against Minimized Pokemon.;Normal;Physical;65;100%;20
22;Double Kick;Strikes twice. if the first hit breaks the target's Substitute the real Pokemon will take damage from the second hit.;Fighting;Physical;30;100%;30
23;Mega Kick;Deals damage with no additional effect.;Normal;Physical;120;75%;5
24;Jump Kick;If this attack misses the target the user half of its max health in recoil damage.;Fighting;Physical;100;95%;10
25;Rolling Kick;Has a 30% chance to make the target flinch.;Fighting;Physical;60;85%;15
26;Headbutt;Has a 30% chance to make the target flinch.;Normal;Physical;70;100%;15
27;Horn Attack;Deals damage with no additional effect.;Normal;Physical;65;100%;25
28;Fury Attack;Attacks 2-5 times in one turn. if one of these attacks breaks a target's Substitute the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice a 3/8 chance to hit three times a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link this move will always strike five times.;Normal;Physical;15;85%;20
29;Horn Drill;The target faints. doesn't work on higher-leveled Pokemon.;Normal;Physical;0;30%;5
30;Tackle;Deals damage with no additional effect.;Normal;Physical;50;100%;35
31;Body Slam;Has a 30% chance to paralyze the target.;Normal;Physical;85;100%;15
32;Wrap;Traps the target for 5-6 turns causing damage equal to 1/16 of its max HP each turn. this trapped effect can be broken by Rapid Spin. The target can still switch out if it is holding Shed Shell or uses Baton Pass or U-Turn.;Normal;Physical;15;90%;20
33;Take Down;The user receives 1/4 recoil damage.;Normal;Physical;90;85%;20
34;Thrash;The user attacks uncontrollably for 2-3 turns and then gets confused.;Normal;Physical;120;100%;10
35;Double-Edge;The user receives 1/3 recoil damage.;Normal;Physical;120;100%;15
36;Poison Sting;Has a 30% chance to poison the target.;Poison;Physical;15;100%;35
37;Twineedle;Strikes twice. if the first hit breaks the target's Substitute the real Pokemon will take damage from the second hit. Has a 20% chance to poison the target .;Bug;Physical;25;100%;20
38;Pin Missile;Attacks 2-5 times in one turn. if one of these attacks breaks a target's Substitute the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice a 3/8 chance to hit three times a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link this move will always strike five times.;Bug;Physical;14;85%;20
39;Bite;Has a 30% chance to make the target flinch.;Dark;Physical;60;100%;25
40;SonicBoom;Always deals 20 points of damage.;Normal;Special;20;90%;20
41;Acid;Has a 10% chance to lower the target's Special Defense by 1 stage.;Poison;Special;40;100%;30
42;Ember;Has a 10% chance to burn the target.;Fire;Special;40;100%;25
43;Flamethrower;Has a 10% chance to burn the target.;Fire;Special;95;100%;15
44;Water Gun;Deals damage with no additional effect.;Water;Special;40;100%;25
45;Hydro Pump;Deals damage with no additional effect.;Water;Special;120;80%;5
46;Surf;Power doubles against a target who is in the middle of using Dive.;Water;Special;95;100%;15
47;Ice Beam;Has a 10% chance to freeze the target.;Ice;Special;95;100%;10
48;Blizzard;Has a 10% chance to freeze the target. During Hail this move will never miss under normal circumstances and has a 30% chance to hit through a target's Protect or Detect.;Ice;Special;120;70%;5
49;Psybeam;Has a 10% chance to confuse the target.;Psychic;Special;65;100%;20
50;BubbleBeam;Has a 10% chance to lower the target's Speed by 1 stage.;Water;Special;65;100%;20
51;Aurora Beam;Has a 10% chance to lower the target's Attack by 1 stage.;Ice;Special;65;100%;20
52;Hyper Beam;The user recharges during its next turn. as a result until the end of the next turn the user becomes uncontrollable.;Normal;Special;150;90%;5
53;Peck;Deals damage with no additional effect.;Flying;Physical;35;100%;35
54;Drill Peck;Deals damage with no additional effect.;Flying;Physical;80;100%;20
55;Submission;The user receives 1/4 recoil damage.;Fighting;Physical;80;80%;25
56;Low Kick;Base power increases as the target's weight increases.;Fighting;Physical;50;100%;20
57;Counter;Almost always goes last. if an opponent strikes with a Physical attack before the user's turn the user retaliates for twice the damage it had endured. In double battles this attack targets the last opponent to hit the user with a Physical attack and cannot hit the user's teammate.;Fighting;Physical;50;100%;20
58;Seismic Toss;Does damage equal to user's level.;Fighting;Physical;50;100%;20
59;Strength;Deals damage with no additional effect.;Normal;Physical;80;100%;15
60;Absorb;Restores the user's HP by 1/2 of the damage inflicted on the target.;Grass;Special;20;100%;25
61;Mega Drain;Restores the user's HP by 1/2 of the damage inflicted on the target.;Grass;Special;40;100%;15
62;Razor Leaf;Has a high critical hit ratio.;Grass;Physical;55;95%;25
